index	#1 Label	#2 String	#2 String
94	1,0,1,0,1,3,0,3,3	AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times]|||||@FutbolLife @TransferSelect no he hasn't|||||“@FutbolLife: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] ”|||||@FutbolLife no he hasn't. The man himself confirmed not true @MichaelEssien|||||“@FutbolLife: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] ”|||||“@FutbolLife: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. ”Fuck off😳|||||Glad to hear this is just a rumour. Disgusting whoever made this up. Apologies to @MichaelEssien and for any offence caused.|||||@FutbolLife @blayrobert @Carlosisking7|||||@Gonzoradlife @FutbolLife @Carlosisking7 woah wtf 😩
95	1,3,0,3,1,3,0,1,0,0,1,3,1,3,3,3,1,3,3,1,1,3,3	BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says.|||||@cnni 11 Killed now|||||@cnni 11 died|||||@cnni How could this happen?  France has pretty restrictive gun laws.|||||@cnni oh my gosh|||||@cnni prayers being sent|||||@cnni 11 killed|||||@cnni|||||@cnni Omg...what is the world turning into. ..|||||@cnni A person killed  his own son &amp; daughter bcz authority neglected his rights of social security benefits.|||||@cnni 11 (9 journalists and 2 policemen) killed and 5 injured. Moreover witnesses affirm that they said "We're gonna avenge our prophet"|||||@cnni actually that wasnt me it was the cats present 2me but it was floping like aflipperedfish so i spatonitandthrewitinthegardenbed|||||“@cnni: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. ”|||||@SimmonsBart @cnni Indeed but illegal traffics still exist and gunfights are not that rare in hard districts|||||@cnni when will we hear good new like the people are living in peace, hmmmm.....killing every day|||||@cnni @ndtv @BBCBreaking SAD indeed......|||||@cnni Oh and our anti-terrorist plan has just been put to its highest level in the part in which the drama's happening.|||||@cnni the headlesschookìmpersonatingghekowithnotail gotaway oh unlesthecatateit anyway im stil last withonly 5beetles|||||@cnni  May God have mercy on our world. Not France this time for these killings|||||“@cnni: BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says.|||||@cnni curly wurlys are so much nicer than half avocados dont u think?|||||@jayanthkumarak @cnni Sad sad day|||||@Sh8knKnotSterd @cnni thank you
96	1,1,3,3,3,3,3,3,3,3	Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man|||||Terribile “@MashableNews: video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man ”|||||@Raquel75 @MashableNews and terrible too|||||@MashableNews @mashable the man might have been a wounded police officer as per Tv news coverage|||||That poor man pictured was a Police Officer :( @MashableNews|||||Police Officer down in picture, killed by armed terrorists who shouted, "the prophet is avenged" after slaughtering him. @MashableNews|||||Inexpicable evil! “@MashableNews: 2 men wearing hoods &amp; black clothing shoot a wounded man #CharlieHebdo #ParisAttack|||||@MashableNews @mashable  I hope They are taken alive|||||@AwakeDeborah @MashableNews so sad|||||@MashableNews brain washed fanatics. The amount of fervor needed to commit such a horrific act is unimaginable.
97	1,3,3,3,3,3,1,3,3,3,2,3,1,2,3,3,3,3,3,2	#CharlieHebdo killers shot dead by police|||||@KayBurley Great news! 😄|||||@KayBurley best news for days. Goodbye scumbags.|||||@KayBurley they got what they wanted :( but perhaps for the best|||||@KayBurley rot in hell.....|||||@KayBurley hurrah, hell awaits 👹👺|||||@KayBurley best news I have heard, Kay you are doing an amazing job thank you|||||@KayBurley No confirmation yet, but hopefully good news|||||@KayBurley best News possible all things considered|||||@KayBurley Good - 2 less to worry about. Hope the Hostages are all OK!|||||@KayBurley @PaulineMBarten Killers? No trial? Can you please provide the evidence that these people were involved in #CharlieHebdo|||||@KayBurley @dublinrecruiter great work gsg9 and s/ forces teams.|||||@KayBurley you the fastest for breaking news...|||||@KayBurley what about the hostage hopefully still alive.|||||@KayBurley Thinking of the hostages. To hell with the terrorists, they should burn on the street, absolute scum.|||||@KayBurley Good News at last Evil Pigs !!!!|||||@KayBurley Just practice for what coming Im afraid Europe is heading for a war|||||@KayBurley great news|||||@KayBurley great news great reporting Kay one of the best in the business|||||@KayBurley Allegedly?
98	1,0,3,0,3,3	Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack|||||@SkyNewsBreak wow and you were so sure there was no connection despite having no info. Tell us the news not your view as news. Numpties.|||||@SkyNewsBreak of course it was going to be linked, something needs done before they take over the world !!|||||@SkyNewsBreak I'd rather wait for official confirmation than your scaremongering speculative social media sourcing news. #givefacts #unnamed|||||@SkyNewsBreak at least it hasn't been forgotten... there's been so little coverage, no mention of finding the shooter that escaped!!|||||@SkyNewsBreak no shit #JeSuisCharlie
99	1,3,3	Reports of shooting at  Dammartin en Goele on route N2 north east of Paris - French media says car chase under way|||||@BBCChrisMorris Sounds like theirs multiple terrorists acting or the Two hebdo attackers manage to stay step ahead of 80,000 cops one of two|||||@BBCChrisMorris take them alive so they can suffer
100	1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3	4 #CharlieHebdo cartoonists killed:- Charb- Cabu- Tignous- Georges Wolinski#JeSuisCharlie|||||@HuffPostUK incredibly saddened by this|||||#GerçekİslamBudur “@HuffPostUK: 4 #CharlieHebdo cartoonists killed:- Charb- Cabu- Tignous- Georges Wolinski ”|||||@HuffPostUK sad so sad|||||@HuffPostUK @CEMB_forum Not just "killed", murdered in cold-blood|||||@HuffPostUK Cabu was a cartoonist in my generation TV children show...its going to impact so much #nohate please #nohate|||||And 8 anonymous. RT@HuffPostUK:4 #CharlieHebdo cartoonists killed:- Charb- Cabu- Tignous- Wolinski#JeSuisCharlie|||||@HuffPostUK very sad, freedom defenders were killed by weak men that are unable to fight ideas with ideas and don't value lives.|||||“@HuffPostUK: 4 #CharlieHebdo cartoonists killed:- Charb- Cabu- Tignous- Georges Wolinski#JeSuisCharlie ” 💔💔|||||@patxi_hastoy @HuffPostUK we're in a world where you get killed because of your ideas ! I wish they rest in peace 😔|||||@HuffPostUK @Lady_Astor|||||@LoveSymbol23 @HuffPostUK this is terrible :( prayers for #Paris victims|||||@HuffPostUK @mikkiconnors We will never forget you.|||||@HuffPostUK A SURGICAL INCISION|||||@keller_lind @HuffPostUK @CEMB_forum Assassinated. As by the original muslim assassins, the "hashishim"|||||@CrimsonHotMess @HuffPostUK Please RT - Download a hilarious FREE Koran PARODY for infidels of all ages -
101	1,1,3,3,1,3,3,2,3,3,1,3,1,2,2,2,3,3	An 11-month old baby is among the hostages at the Kosher supermarket in Paris. Unbearably sad.|||||@BklynMiddleton rumors say hostages are 1 women and 4 childrens---|||||@BklynMiddleton sorrow is not the emotion one should have at this stage. maybe afterwards. right now, it's appropriate to be filled w rage|||||@BklynMiddleton is it just a coincidence that kosher market thing or a missibg part of the picture ?|||||RT @BklynMiddleton: An 11-month old baby is among the hostages at the Kosher supermarket in #ParisAttack|||||@BklynMiddleton really sad. Ever seen fotos of gaza babies ? All babies r equal i suppose|||||*Mutes Universe*|||||@BklynMiddleton The pause button is broken and there is no rewind function.It's terrifying when you think about it.|||||@BklynMiddleton it's a dialogue isn't it? please don't take my comment as attacking. i am not sad.. yet. im stark raving mad.|||||@BklynMiddleton It's that kind of day. The kind where you want to go back to bed with some fiction to distract.|||||@pptsapper Or the day you wonder why you didn't just study creative writing and adopt some nice cats in Vermont.... or something.|||||@BklynMiddleton I could become a novelist and live in the woods of northern Maine...with no internet. And ditto cat(s)|||||@BklynMiddleton u r among the only journalists saying kosher market &amp; not calling it something generic. If it's kosher it was targeted. Thx|||||@PD28 @BklynMiddleton Hashtag #kosher shows lots of journalists are referring to it as a kosher supermarket.|||||@BklynMiddleton can i borrow your universal mute button?|||||@BklynMiddleton rather than being a 'lone-wolf copy-cat' the fact the attacker is so well-armed points to a far more worrying escalation.|||||@tsrosenberg @BklynMiddleton that's my mistake. Thanks!|||||@PD28 @BklynMiddleton No problem! Wish it weren't such a horrible situation.
102	1,3,1,1,3,3,0,1,0,3,3,3,1	Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed.|||||@WSJ Well that guys a nut.|||||@WSJ #StopKillingInnocentPeople#FreePalestine#freeBurma#FreeSyria #FreeKashmir|||||“@WSJ: Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. ”|||||@WSJ Before attack, French began ceding control of neighborhoods to Islamists...|||||@WSJ seems it would behoove police to kill that particular gunman first then.|||||@WSJ how would they know if they are harmed or not? Is there some kind of communication between the suspects?|||||@WSJ @slone #Gunman had meeting with former president #Sarkozy in 2009|||||“@WSJ: Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. ” smh|||||“@WSJ: Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. ” What a mess|||||@duesouth22 the terrorist had meeting with président #Sarkozy in 2009  @WSJ|||||Omg “@WSJ: Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. ”|||||“@WSJ: Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. ” smfh
103	1,1,3,0,1,1,1,3,3,2,3,3,3,3,3,0	#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault|||||“@AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault” Thank God|||||“@AFP: #BREAKING #CharlieHebdo gunmen's hostage freed and safe after police assault” Hoping this is accurate.|||||“@AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault”Yes French police👊|||||RT @AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault #attack #paris #charliehebdo|||||#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault @AFP #CharlieHebdo #ParisAttacks|||||BREAKING: Charlie Hebdo gunmen's hostage freed and safe after police assault via @AFP|||||@AFP|||||Thank goodness for this: RT@AFP  #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault #CharlieHebdo|||||@FridhKleberg @AFP If so that hostage will be the person best able to give an insight into the attack, if the suspects were responsible...|||||@Callum_SR @AFP thanks GOD !|||||@Callum_SR @AFP Callum I'm so happy I was so scared!! Thanks for the support|||||@Callum_SR i am so fucking effraid now|||||@Callum_SR @AFP and Charlie Hebdo's gunmen are dead!!|||||@Callum_SR @mixormaster @AFP So happy for him. #ParisUnderAttack|||||@Callum_SR aw
104	1,1,3,3,3,3,3,3,3,3,3,3	11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris:|||||Sickening "@Telegraph: 11 confirmed dead, Francois Hollande to visit scene of attack:  ”|||||Hi @Telegraph this is the photo of our journalist @WilliamMolinie please credit him at least.|||||@20Minutes @Telegraph @WilliamMolinie  indeed, this is called "courtesy" (thing often unknown by british papers)|||||Je disais quoi ? Smh.. RT "@20Minutes: Hi @Telegraph this is the photo of our journalist @WilliamMolinie please credit him at least."|||||“@20Minutes: Hi @Telegraph this is the photo of our journalist @WilliamMolinie please credit him at least.” lol business .. Encore et encore|||||@Telegraph Photo shows attackers are at least trained &amp; possibly experienced with combat weapons. More tracking needed of overseas fighters.|||||.@Telegraph @acooper3 Well, @SkyNewsBreak are noting that whoever fired those bullets knew how to fire the gun properly. PN office dead?|||||.@AuthorABurrett @Telegraph Won't happen. Dover checks are focused mainly on de-worming treatments for dogs.|||||@Telegraph Wild West Politics: Western Europe is suffering from its internal contradictions; welcome to the tribal politics of the future.|||||@Telegraph lol nd u lot wanted to go paris to get our headgears ripped off @_naboox @cocoa_ktr|||||@khadij_s @cocoa_ktr nah not even on that man, habibi marseille 💕
105	1,3,1	#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie|||||@juliamacfarlane|||||Banksy gets it right. “@juliamacfarlane: #Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie ”
106	1,3,2,3,3,1,1,0,2,3,3,3,1,1,3	Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida:|||||@Slate I strongly condemn this terrorist attack as a Turkish Muslim.Terrorists Cannot represent Islam #notinmyname|||||@Slate Who funded/armed/trained gunmen?  … Jeffrey Epstein also in CFR+Trilateral Commission #JeSuisCharlie|||||@slate Cant be al-Qaida the President told us they are in retreat|||||@Slate " #gunmen confess they didn't get @Charlie_Hebdo_ 's #satire " @TheOnion|||||Hhmmmm… *ambil lup* “@Slate: Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida:|||||“@Slate: Witnesses -Charlie Hebdo gunmen identified themselves as members of al-Qaida:" If true, terrorist groups' competing and escalating?|||||@Slate @jasonCwaite|||||@Slate @zaidbenjamin Identified themselves ? You having a laugh, so how come they didn't get shot too ? :/ #France|||||@Slate Alluh akbar , why did they make a funny on our prophet.|||||@norton_anorton @Slate the outbidding scenario as talked about by @MiaMBloom @selectedwisdom @intelwire|||||Trying to one-up ISIS? MT @Slate: Witnesses say Charlie Hebdo gunmen self-ID'd as al-Qaida:|||||@Slate Duh, Ya think?|||||RT @Slate: Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida|||||.@Slate @whpresscorps ...witnesses may have but President never will not will he utter #islam #jihad or #muslim in association with this! 👎
107	1,1,1,0,3,3,3,3,3,1,3,1,0,3,3,3,3,3,3	#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet" during attack - reports|||||@RT_com sounds like a sketch from family guy|||||@RT_com sure they did|||||@RT_com they screamed Allahu Akbar just like those who scream Novorossiya|||||@RT_com This is a fair revenge! French planes with impunity in Afghanistan, Syria, Libya and Iraq!|||||“@RT_com: #CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet" during attack" Now that's tolerance for you|||||@RT_com Did the Gunman knew that he will rot in Hell for this ?|||||@RT_com @SpringboroTea|||||@RT_com this is messed up|||||@RT_com      ISLAMIC SCHOLARS SHOULD COME FORWARD TO END 'JIHAD' !       IT IS INHUMAN &amp; WOULD DESTROY THE CREDIBILITY OF ISLAM !|||||@RT_com cc @MorbidEntree|||||@RT_com Extremism and Terrorism has no place in Islam #ParisAttack|||||@RT_com Ppl use #religion as excuse to do violent acts. US invading #Iraq shows how much violence is naturally born into humans. #science|||||@RT_com Must be a very weak god, that Mohammad that it uses these beasts for revenge for humor, which only brings shame and disgust apon it|||||@RT_com so sad.|||||@RT_com its a trap....conspiracy against Islam...cant say no more...|||||@RT_com pussies|||||@RT_com Many religions started in mid east.It indicates peoples with no sense of humor.Leave them alone.|||||@DrBMSinghal @RT_com Or even better, how about the world just abolishes islam all together. It's nothing but a cancer to the world.
108	3,3,3,2,1,3,2,1,3,3,3,0,3,3,3,3	Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates|||||@BBCWorld  FUCK OFF DONT SPREAD THIS ILL PERSON AS A HERO !|||||@BBCWorld superb! raping an unsuspecting child with a message it can't make a choice about is always a superb photo op. thanks, #BBC|||||@BBCWorld did shooting not happen in paris|||||@BBCWorld #StopKillingInnocentPeople#FreePalestine#freeBurma#freeSyria|||||@BBCWorld ☆♡☆|||||@BBCWorld #JeSuisCharlie NO. We are witness on how the world have let terrorist walk on our streets. Why they were out of Jail? The Media|||||@BBCWorld My support. #JeSuisCharlie|||||@BBCWorld #JeSuisAhmed #JeNeSuisPasCharlie|||||@BBCWorld|||||@BBCWorld #JeSuisAhmed the Muslim policemen who died protecting the Charlie who ridiculed his faith|||||@bloggi @BBCWhat a Fuck head u are|||||@papyzapy @BbcWhat it is well meaning but clueless people like you such imagery targets|||||@BBCWorld|||||@BBCWorld|||||@BBCWorld
109	1,3,3,3,3,3,3,3,2,1,3,3,3,3	The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station|||||@SkyNews Scumy criminals|||||@SkyNews It appears Thelma &amp; Louise have rocket launchers, numpties! #JeSuisCharlie|||||@SkyNews Don't think they were trying to change the world,revenge was there motive|||||@SkyNews find them. catch them. hang them publicly. send the message out zero tolerance will be shown. they don't deserve any humanity....|||||@SkyNews Find them, torture them to fuck, then leave them out in the open tied up for the public to finish them off.|||||@SkyNews Freedom of speech !!!!!|||||@SkyNews little shits are just using religion to go around murdering innocent people because they are uneducated no-good thugs #scumbags|||||@SkyNews why have these worthless pricks not been taken out yet ?|||||"@SkyNews: The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station  #Thieves|||||@SkyNews deluded thieving extremists, folks just need to read the right books and stay off drugs! #CharlesHebdo|||||@SkyNews Why is the term racism used when muslims try to justify acts of terrorism? Islam is a religion not a race.|||||@SkyNews Best to shot to kill the muslim shits!!|||||@SkyNews I hope they catch these cowards alive so they can face justice.
110	1,3,3,1,3	Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve)|||||“@MelanieTait: Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) ” True and so sad!|||||“@MelanieTait: Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) ”|||||RT @MelanieTait: Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve)|||||“@MelanieTait: Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) ”
111	1,3,3,3,3	Police convoy and helicopters are rushing to scene to detain Charlie Hebdo massacre suspects|||||@MailOnline is ambulance in convoy? #CharlieHebdo|||||@MailOnline @SarahHarris bring back the guillotine|||||@MailOnline All the suspects are called 'Lee Harvey Oswald'. That's amazing.|||||@MailOnline . french news are reporting at least 2 ppl were killed and 20 ppl injuried in a gunfight with the islamists
112	1,3,3,1,1,1,1,3,0,3,3	UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer|||||“@SputnikInt: UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer ”|||||@SputnikInt 🙋 🙋 🙋hi,can u like here ,plz 👇👇👇like picture 👇👇👇Thanx🌷|||||@SputnikInt May he rest in peace.|||||“@SputnikInt URG: #CharlieHebdo's editor-in-chief was killed in attack-Magazine's lawyer ”//NADA justifica esto, NADA!|||||@SputnikInt  "Bigotry: The Dark Danger"|||||@SputnikInt: UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer|||||@SputnikInt @Ironwand #RIP French dhimmi govt is doing everything to protect muslims. Dont worry, more innocents will follow this brave man!|||||@SputnikInt @RosieBarton Looks like Rick Mercer|||||“@SputnikInt: UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer ” well..|||||@SputnikInt
113	1,3,3,3,3,1,3,2,3,3,2,2,3,3,3,3,3,3,3,0,3	Hostage-taker in supermarket siege killed, reports say. #ParisAttacks|||||@SkyNews Good|||||“@SkyNews: Hostage-taker in supermarket siege killed, reports say. #ParisAttacks  ”|||||@SkyNews @Cosmo_13_|||||@SkyNews hope he died in agony ....|||||“@SkyNews: Hostage-taker in supermarket siege killed, reports say. #ParisAttacks  ”#Bluehand|||||@SkyNews looks like 6 civilians in the latest photo|||||@SkyNews 🙏|||||Wake up world to who terrorists are @SkyNews: Hostage-taker in supermarket siege killed,|||||@SkyNews good work 👍|||||@SkyNews What about his girlfriend wanted by police ?|||||@SkyNews I thought there was two hostage takers?|||||#ParisAttacks - "@SkyNews: Hostage-taker in supermarket siege killed, reports say.  ”|||||@SkyNews 👍🍸|||||“@SkyNews: Hostage-taker in supermarket siege killed, reports say. #ParisAttacks  ” #JeSuisJuif|||||Yes!! 😎👍 RT “@SkyNews: Hostage-taker in supermarket siege killed, reports say. #ParisAttacks  ”|||||@SkyNews @tomfranks9|||||@dano1980mufc @SkyNews cheers, mental just mental|||||@tomfranks9 @SkyNews yeah it's terrible. Sounds like 4 hostages died in the supermarket.|||||@dano1980mufc @SkyNews fucking hell, that's awful|||||@tomfranks9 @SkyNews All in the name of religion again. So fucking pointless.
114	1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	Paris Manhunt: 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large|||||@RT_com now that is better grammar|||||@RT_com Crazy Jews! #sarcasm|||||@RT_com Means RPG.|||||@RT_com I hope the French get all "Foreign Legion" on their ass and put the crosshairs where they should be....|||||@RT_com #IslamIsPeace|||||@RT_com so aljazeera report on rocket launcher then edit link|||||@RT_com islam is a barbaric heinous "religion" I can't recall 1 good thing it has contributed to anyone. It's a violent cult, nothing more.|||||@RT_com @cnn @msnbc @FoxNews Their hiding at MSNBC  or CNN office|||||Scary! @RT_com 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large|||||@GargiRawat Mam, Can I get DM from you with @NoopurTiwari Mam's contact number for a telephonic reaction on News 24. Would really appreciate|||||@RT_com The GIGN got there work cut out today lol|||||@Bhavdeepnama I don't have it.. why don't you try her here @NoopurTiwari|||||@GargiRawat Thank you for the reply mam. Really appreciate. I have tweeted @NoopurTiwari mam also.|||||.@GargiRawat @RT_com come on! Surely not as scary as RSS Hindus at large with laathis, right?|||||@RT_com France is paying a big price for been a puppet of Americans|||||@GargiRawat the ease with these weapons are brandished is a threatening scenario
115	1,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3	AFP: suspected #CharlieHebdo gunmen have been killed|||||@SkyNewsBreak hallelujah, enjoy the 40 virgins|||||@SkyNewsBreak @UKlPVoter good  thats a start|||||Got the bastards! "@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed”|||||“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed” Hoping that this is now the end|||||“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed” &lt;&lt;&lt;Was inevitable|||||“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed” vive la France|||||“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed” BANG BANG NIGGA|||||@SkyNewsBreak @DLoesch like a Bogo',' and done|||||@SkyNewsBreak Great outcome. All murderers dead. All hostages freed. Great job by French police|||||“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed”@nevsinmengu|||||@SkyNewsBreak good|||||“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed” yayyy#boom|||||@SkyNewsBreak @gazsc go on shoot em again just to make sure|||||@jaseblazefan @SkyNewsBreak stick em full of pencils.|||||@gazsc @SkyNewsBreak and shove a copy of #CharlieHebdo up their ass|||||@jaseblazefan @SkyNewsBreak then send them to the countries the supported as a sign. We are not backing down|||||@gazsc @SkyNewsBreak that's a good idea, just attach a note saying " I think this is your shit have it back"|||||@jaseblazefan wonder if @SkyNewsBreak get the impression we are sick of these extremists and how the government just let them in|||||@jaseblazefan @SkyNewsBreak sod watching them and then them escaping being watched. If they support terrorism. .send them out of our country|||||@gazsc @SkyNewsBreak it could never happen here, we don't have a paper with enough balls to publish anything that offends Muslims #notPC|||||@andrea_avena it will never be the end|||||@jaseblazefan @SkyNewsBreak true. Perhaps they should all grow some #NoHope
116	1,3,3,3,3,3,3,1,3,3,3,3,3,2,3	Suspects in #CharlieHebdo attack spoke to police by phone and said they wanted to die as martyrs, says French MP.|||||@cnni But, you know, it's because they're muslim.  We can't talk about that.  GFY|||||@cnni that should be no problem, millions wants to "help" them, but let the hostages free first  #parisattack|||||“@cnni: Suspects in #CharlieHebdo attack spoke to police by phone and said they wanted to die as martyrs, says MP. ”|||||@cnni tell them we want to help them as much as possible.|||||@cnni chai....by claiming innocent lives? that's really Awkward!|||||@cnni call them back and explain to them the definition of martyrs #idiots   #CharlieHebdo|||||@cnni Thy wil bcum satans aftr death ! kep drmng abt martdm &amp; abt thse 72 virgins n heavn ! N India we mde mny trrorsts, satans n kashmir !o|||||@cnni Good. Some assistance please Messieurs Les Gendarmes !|||||@cnni The police r there trying to do a job under very difficult circumstances. We all realize how brave they r and thank them|||||@cnni they can never be|||||@cnni That is what they really want, another way would be a shame for them.|||||@cnni   Certainly not  matyres - sorry no thousands of virgins waiting for them just fire and brimstone.|||||@snowytristan , Hi Betty.. You are in Australia?|||||@cnni ok
117	1,1,1,2,3,3,3,1,1,3,3,3	Breaking: Two hostage situations in France are linked, Paris prosecutor says|||||@abc|||||#PrayForParis “@ABC: Breaking: Two hostage situations in France are linked, Paris prosecutor says”|||||@ABC @VeraSweeney Can you please identify how LONG these have been ON? it is about 4p in that area. HOW MANY HOURS ON?|||||@ABC Time to arrest all the hostage takers relatives !|||||@ABC knew that an hour ago by the BBC  news|||||@ABCTime to ban religion.|||||@Cultiv8Hope @ABC @VeraSweeney the 1st has been on for 7h30 and the second for 4hrs|||||@ABC Of course they are, fear is best sold in bundles!|||||@maryyasmine @ABC @VeraSweeney Thanks. I think posing these situations in context helps us better understand. We are far away. #Peace #paris|||||@ABC @DenverChannel Ok thats good 2 know|||||@ABC oh really maybe because it's  false flag
118	1,3,3,3,3,3,2,3,3,3,1,3,3,3,2,3,1,3,3	This widely shared cartoon about the #CharlieHebdo attack is actually by @LucilleClerc and not #Banksy|||||@BBCtrending @LucilleClerc  Love this !|||||@BBCtrending @LucilleClerc The pen/pencil truly is mightier than the sword!|||||@BBCtrending @LucilleClerc|||||Or is it... RT @BBCtrending: Widely shared cartoon about #CharlieHebdo attack actually by @LucilleClerc not #Banksy|||||@BBCtrending @BrookingsFP @LucilleClerc @we are not afraid!|||||@BBCtrending How do you know? I thought the graffiti "artist" was supposed to be anonymous. @brianstelter @LucilleClerc|||||“@BBCtrending:This widely shared cartoon about the #CharlieHebdo attack is actually by @LucilleClerc and not #Banksy ”|||||“@BBCtrending: Cartoon abt #CharlieHebdo is by @LucilleClerc not #Banksy ” Lazy media often fooled by parody accounts|||||@BBCtrending @eelcobvr @LucilleClerc we must go on.|||||By @LucilleClerc  via @BBCtrendingBy @Independent  via @amolrajan#JeSuisCharlie #CharlieHebdo|||||@BBCtrending @RosieBarton @LucilleClerc Bullets will never stop the PEN!|||||Perhaps it's both. @BBCtrending @LucilleClerc|||||@BBCtrending @petersagal @LucilleClerc pm grateful for that tweet|||||Does this cartoon means that hatred cartoons to holy values will continue? @BBCtrending @CanAnayasa @LucilleClerc|||||@BBCtrending @LucilleClerc 90|||||MT @BBCtrending: widely shared cartoon about the #CharlieHebdo attack  by @LucilleClerc|||||@BBCtrending @MorningEdition @LucilleClerc Brilliant.|||||@BBCtrending @sven10hove @LucilleClerc
